Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","511","Population totale","2501","Population","2013","2013","1000 personnes","30552","","Donnée officielle"
"FBS","Bilans Alimentaires","202","Afrique du Sud","511","Population totale","2501","Population","2013","2013","1000 personnes","52776","","Donnée officielle"
"FBS","Bilans Alimentaires","3","Albanie","511","Population totale","2501","Population","2013","2013","1000 personnes","3173","","Donnée officielle"
"FBS","Bilans Alimentaires","4","Algérie","511","Population totale","2501","Population","2013","2013","1000 personnes","39208","","Donnée officielle"
"FBS","Bilans Alimentaires","79","Allemagne","511","Population totale","2501","Population","2013","2013","1000 personnes","82727","","Donnée officielle"
"FBS","Bilans Alimentaires","7","Angola","511","Population totale","2501","Population","2013","2013","1000 personnes","21472","","Donnée officielle"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","511","Population totale","2501","Population","2013","2013","1000 personnes","90","","Donnée officielle"
"FBS","Bilans Alimentaires","194","Arabie saoudite","511","Population totale","2501","Population","2013","2013","1000 personnes","28829","","Donnée officielle"
"FBS","Bilans Alimentaires","9","Argentine","511","Population totale","2501","Population","2013","2013","1000 personnes","41446","","Donnée officielle"
"FBS","Bilans Alimentaires","1","Arménie","511","Population totale","2501","Population","2013","2013","1000 personnes","2977","","Donnée officielle"
"FBS","Bilans Alimentaires","10","Australie","511","Population totale","2501","Population","2013","2013","1000 personnes","23343","","Donnée officielle"
"FBS","Bilans Alimentaires","11","Autriche","511","Population totale","2501","Population","2013","2013","1000 personnes","8495","","Donnée officielle"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","511","Population totale","2501","Population","2013","2013","1000 personnes","9413","","Donnée officielle"
"FBS","Bilans Alimentaires","12","Bahamas","511","Population totale","2501","Population","2013","2013","1000 personnes","377","","Donnée officielle"
"FBS","Bilans Alimentaires","16","Bangladesh","511","Population totale","2501","Population","2013","2013","1000 personnes","156595","","Donnée officielle"
"FBS","Bilans Alimentaires","14","Barbade","511","Population totale","2501","Population","2013","2013","1000 personnes","285","","Donnée officielle"
"FBS","Bilans Alimentaires","57","Bélarus","511","Population totale","2501","Population","2013","2013","1000 personnes","9357","","Donnée officielle"
"FBS","Bilans Alimentaires","255","Belgique","511","Population totale","2501","Population","2013","2013","1000 personnes","11104","","Donnée officielle"
"FBS","Bilans Alimentaires","23","Belize","511","Population totale","2501","Population","2013","2013","1000 personnes","332","","Donnée officielle"
"FBS","Bilans Alimentaires","53","Bénin","511","Population totale","2501","Population","2013","2013","1000 personnes","10323","","Donnée officielle"
"FBS","Bilans Alimentaires","17","Bermudes","511","Population totale","2501","Population","2013","2013","1000 personnes","65","","Donnée officielle"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","511","Population totale","2501","Population","2013","2013","1000 personnes","10671","","Donnée officielle"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","511","Population totale","2501","Population","2013","2013","1000 personnes","3829","","Donnée officielle"
"FBS","Bilans Alimentaires","20","Botswana","511","Population totale","2501","Population","2013","2013","1000 personnes","2021","","Donnée officielle"
"FBS","Bilans Alimentaires","21","Brésil","511","Population totale","2501","Population","2013","2013","1000 personnes","200362","","Donnée officielle"
"FBS","Bilans Alimentaires","26","Brunéi Darussalam","511","Population totale","2501","Population","2013","2013","1000 personnes","418","","Donnée officielle"
"FBS","Bilans Alimentaires","27","Bulgarie","511","Population totale","2501","Population","2013","2013","1000 personnes","7223","","Donnée officielle"
"FBS","Bilans Alimentaires","233","Burkina Faso","511","Population totale","2501","Population","2013","2013","1000 personnes","16935","","Donnée officielle"
"FBS","Bilans Alimentaires","35","Cabo Verde","511","Population totale","2501","Population","2013","2013","1000 personnes","499","","Donnée officielle"
"FBS","Bilans Alimentaires","115","Cambodge","511","Population totale","2501","Population","2013","2013","1000 personnes","15135","","Donnée officielle"
"FBS","Bilans Alimentaires","32","Cameroun","511","Population totale","2501","Population","2013","2013","1000 personnes","22254","","Donnée officielle"
"FBS","Bilans Alimentaires","33","Canada","511","Population totale","2501","Population","2013","2013","1000 personnes","35182","","Donnée officielle"
"FBS","Bilans Alimentaires","40","Chili","511","Population totale","2501","Population","2013","2013","1000 personnes","17620","","Donnée officielle"
"FBS","Bilans Alimentaires","96","Chine - RAS de Hong-Kong","511","Population totale","2501","Population","2013","2013","1000 personnes","7204","","Donnée officielle"
"FBS","Bilans Alimentaires","128","Chine - RAS de Macao","511","Population totale","2501","Population","2013","2013","1000 personnes","566","","Donnée officielle"
"FBS","Bilans Alimentaires","41","Chine, continentale","511","Population totale","2501","Population","2013","2013","1000 personnes","1385567","","Donnée officielle"
"FBS","Bilans Alimentaires","214","Chine, Taiwan Province de","511","Population totale","2501","Population","2013","2013","1000 personnes","23330","","Donnée officielle"
"FBS","Bilans Alimentaires","50","Chypre","511","Population totale","2501","Population","2013","2013","1000 personnes","1141","","Donnée officielle"
"FBS","Bilans Alimentaires","44","Colombie","511","Population totale","2501","Population","2013","2013","1000 personnes","48321","","Donnée officielle"
"FBS","Bilans Alimentaires","46","Congo","511","Population totale","2501","Population","2013","2013","1000 personnes","4448","","Donnée officielle"
"FBS","Bilans Alimentaires","48","Costa Rica","511","Population totale","2501","Population","2013","2013","1000 personnes","4872","","Donnée officielle"
"FBS","Bilans Alimentaires","107","Côte d'Ivoire","511","Population totale","2501","Population","2013","2013","1000 personnes","20316","","Donnée officielle"
"FBS","Bilans Alimentaires","98","Croatie","511","Population totale","2501","Population","2013","2013","1000 personnes","4290","","Donnée officielle"
"FBS","Bilans Alimentaires","49","Cuba","511","Population totale","2501","Population","2013","2013","1000 personnes","11266","","Donnée officielle"
"FBS","Bilans Alimentaires","54","Danemark","511","Population totale","2501","Population","2013","2013","1000 personnes","5619","","Donnée officielle"
"FBS","Bilans Alimentaires","72","Djibouti","511","Population totale","2501","Population","2013","2013","1000 personnes","873","","Donnée officielle"
"FBS","Bilans Alimentaires","55","Dominique","511","Population totale","2501","Population","2013","2013","1000 personnes","72","","Donnée officielle"
"FBS","Bilans Alimentaires","59","Égypte","511","Population totale","2501","Population","2013","2013","1000 personnes","82056","","Donnée officielle"
"FBS","Bilans Alimentaires","60","El Salvador","511","Population totale","2501","Population","2013","2013","1000 personnes","6340","","Donnée officielle"
"FBS","Bilans Alimentaires","225","Émirats arabes unis","511","Population totale","2501","Population","2013","2013","1000 personnes","9346","","Donnée officielle"
"FBS","Bilans Alimentaires","58","Équateur","511","Population totale","2501","Population","2013","2013","1000 personnes","15738","","Donnée officielle"
"FBS","Bilans Alimentaires","203","Espagne","511","Population totale","2501","Population","2013","2013","1000 personnes","46927","","Donnée officielle"
"FBS","Bilans Alimentaires","63","Estonie","511","Population totale","2501","Population","2013","2013","1000 personnes","1287","","Donnée officielle"
"FBS","Bilans Alimentaires","231","États-Unis d'Amérique","511","Population totale","2501","Population","2013","2013","1000 personnes","320051","","Donnée officielle"
"FBS","Bilans Alimentaires","238","Éthiopie","511","Population totale","2501","Population","2013","2013","1000 personnes","94101","","Donnée officielle"
"FBS","Bilans Alimentaires","185","Fédération de Russie","511","Population totale","2501","Population","2013","2013","1000 personnes","142834","","Donnée officielle"
"FBS","Bilans Alimentaires","66","Fidji","511","Population totale","2501","Population","2013","2013","1000 personnes","881","","Donnée officielle"
"FBS","Bilans Alimentaires","67","Finlande","511","Population totale","2501","Population","2013","2013","1000 personnes","5426","","Donnée officielle"
"FBS","Bilans Alimentaires","68","France","511","Population totale","2501","Population","2013","2013","1000 personnes","64291","","Donnée officielle"
"FBS","Bilans Alimentaires","74","Gabon","511","Population totale","2501","Population","2013","2013","1000 personnes","1672","","Donnée officielle"
"FBS","Bilans Alimentaires","75","Gambie","511","Population totale","2501","Population","2013","2013","1000 personnes","1849","","Donnée officielle"
"FBS","Bilans Alimentaires","73","Géorgie","511","Population totale","2501","Population","2013","2013","1000 personnes","4341","","Donnée officielle"
"FBS","Bilans Alimentaires","81","Ghana","511","Population totale","2501","Population","2013","2013","1000 personnes","25905","","Donnée officielle"
"FBS","Bilans Alimentaires","84","Grèce","511","Population totale","2501","Population","2013","2013","1000 personnes","11128","","Donnée officielle"
"FBS","Bilans Alimentaires","86","Grenade","511","Population totale","2501","Population","2013","2013","1000 personnes","106","","Donnée officielle"
"FBS","Bilans Alimentaires","89","Guatemala","511","Population totale","2501","Population","2013","2013","1000 personnes","15468","","Donnée officielle"
"FBS","Bilans Alimentaires","90","Guinée","511","Population totale","2501","Population","2013","2013","1000 personnes","11745","","Donnée officielle"
"FBS","Bilans Alimentaires","175","Guinée-Bissau","511","Population totale","2501","Population","2013","2013","1000 personnes","1704","","Donnée officielle"
"FBS","Bilans Alimentaires","91","Guyana","511","Population totale","2501","Population","2013","2013","1000 personnes","800","","Donnée officielle"
"FBS","Bilans Alimentaires","93","Haïti","511","Population totale","2501","Population","2013","2013","1000 personnes","10317","","Donnée officielle"
"FBS","Bilans Alimentaires","95","Honduras","511","Population totale","2501","Population","2013","2013","1000 personnes","8096","","Donnée officielle"
"FBS","Bilans Alimentaires","97","Hongrie","511","Population totale","2501","Population","2013","2013","1000 personnes","9955","","Donnée officielle"
"FBS","Bilans Alimentaires","25","Îles Salomon","511","Population totale","2501","Population","2013","2013","1000 personnes","561","","Donnée officielle"
"FBS","Bilans Alimentaires","100","Inde","511","Population totale","2501","Population","2013","2013","1000 personnes","1252140","","Donnée officielle"
"FBS","Bilans Alimentaires","101","Indonésie","511","Population totale","2501","Population","2013","2013","1000 personnes","249866","","Donnée officielle"
"FBS","Bilans Alimentaires","102","Iran (République islamique d')","511","Population totale","2501","Population","2013","2013","1000 personnes","77447","","Donnée officielle"
"FBS","Bilans Alimentaires","103","Iraq","511","Population totale","2501","Population","2013","2013","1000 personnes","33765","","Donnée officielle"
"FBS","Bilans Alimentaires","104","Irlande","511","Population totale","2501","Population","2013","2013","1000 personnes","4627","","Donnée officielle"
"FBS","Bilans Alimentaires","99","Islande","511","Population totale","2501","Population","2013","2013","1000 personnes","330","","Donnée officielle"
"FBS","Bilans Alimentaires","105","Israël","511","Population totale","2501","Population","2013","2013","1000 personnes","7733","","Donnée officielle"
"FBS","Bilans Alimentaires","106","Italie","511","Population totale","2501","Population","2013","2013","1000 personnes","60990","","Donnée officielle"
"FBS","Bilans Alimentaires","109","Jamaïque","511","Population totale","2501","Population","2013","2013","1000 personnes","2784","","Donnée officielle"
"FBS","Bilans Alimentaires","110","Japon","511","Population totale","2501","Population","2013","2013","1000 personnes","127144","","Donnée officielle"
"FBS","Bilans Alimentaires","112","Jordanie","511","Population totale","2501","Population","2013","2013","1000 personnes","7274","","Donnée officielle"
"FBS","Bilans Alimentaires","108","Kazakhstan","511","Population totale","2501","Population","2013","2013","1000 personnes","16441","","Donnée officielle"
"FBS","Bilans Alimentaires","114","Kenya","511","Population totale","2501","Population","2013","2013","1000 personnes","44354","","Donnée officielle"
"FBS","Bilans Alimentaires","113","Kirghizistan","511","Population totale","2501","Population","2013","2013","1000 personnes","5548","","Donnée officielle"
"FBS","Bilans Alimentaires","83","Kiribati","511","Population totale","2501","Population","2013","2013","1000 personnes","102","","Donnée officielle"
"FBS","Bilans Alimentaires","118","Koweït","511","Population totale","2501","Population","2013","2013","1000 personnes","3369","","Donnée officielle"
"FBS","Bilans Alimentaires","122","Lesotho","511","Population totale","2501","Population","2013","2013","1000 personnes","2074","","Donnée officielle"
"FBS","Bilans Alimentaires","119","Lettonie","511","Population totale","2501","Population","2013","2013","1000 personnes","2050","","Donnée officielle"
"FBS","Bilans Alimentaires","154","Macédoine du Nord","511","Population totale","2501","Population","2013","2013","1000 personnes","2107","","Donnée officielle"
"FBS","Bilans Alimentaires","121","Liban","511","Population totale","2501","Population","2013","2013","1000 personnes","4822","","Donnée officielle"
"FBS","Bilans Alimentaires","123","Libéria","511","Population totale","2501","Population","2013","2013","1000 personnes","4294","","Donnée officielle"
"FBS","Bilans Alimentaires","126","Lituanie","511","Population totale","2501","Population","2013","2013","1000 personnes","3017","","Donnée officielle"
"FBS","Bilans Alimentaires","256","Luxembourg","511","Population totale","2501","Population","2013","2013","1000 personnes","530","","Donnée officielle"
"FBS","Bilans Alimentaires","129","Madagascar","511","Population totale","2501","Population","2013","2013","1000 personnes","22925","","Donnée officielle"
"FBS","Bilans Alimentaires","131","Malaisie","511","Population totale","2501","Population","2013","2013","1000 personnes","29717","","Donnée officielle"
"FBS","Bilans Alimentaires","130","Malawi","511","Population totale","2501","Population","2013","2013","1000 personnes","16363","","Donnée officielle"
"FBS","Bilans Alimentaires","132","Maldives","511","Population totale","2501","Population","2013","2013","1000 personnes","345","","Donnée officielle"
"FBS","Bilans Alimentaires","133","Mali","511","Population totale","2501","Population","2013","2013","1000 personnes","15302","","Donnée officielle"
"FBS","Bilans Alimentaires","134","Malte","511","Population totale","2501","Population","2013","2013","1000 personnes","429","","Donnée officielle"
"FBS","Bilans Alimentaires","143","Maroc","511","Population totale","2501","Population","2013","2013","1000 personnes","33008","","Donnée officielle"
"FBS","Bilans Alimentaires","137","Maurice","511","Population totale","2501","Population","2013","2013","1000 personnes","1244","","Donnée officielle"
"FBS","Bilans Alimentaires","136","Mauritanie","511","Population totale","2501","Population","2013","2013","1000 personnes","3890","","Donnée officielle"
"FBS","Bilans Alimentaires","138","Mexique","511","Population totale","2501","Population","2013","2013","1000 personnes","122332","","Donnée officielle"
"FBS","Bilans Alimentaires","141","Mongolie","511","Population totale","2501","Population","2013","2013","1000 personnes","2839","","Donnée officielle"
"FBS","Bilans Alimentaires","273","Monténégro","511","Population totale","2501","Population","2013","2013","1000 personnes","621","","Donnée officielle"
"FBS","Bilans Alimentaires","144","Mozambique","511","Population totale","2501","Population","2013","2013","1000 personnes","25834","","Donnée officielle"
"FBS","Bilans Alimentaires","28","Myanmar","511","Population totale","2501","Population","2013","2013","1000 personnes","53259","","Donnée officielle"
"FBS","Bilans Alimentaires","147","Namibie","511","Population totale","2501","Population","2013","2013","1000 personnes","2303","","Donnée officielle"
"FBS","Bilans Alimentaires","149","Népal","511","Population totale","2501","Population","2013","2013","1000 personnes","27797","","Donnée officielle"
"FBS","Bilans Alimentaires","157","Nicaragua","511","Population totale","2501","Population","2013","2013","1000 personnes","6080","","Donnée officielle"
"FBS","Bilans Alimentaires","158","Niger","511","Population totale","2501","Population","2013","2013","1000 personnes","17831","","Donnée officielle"
"FBS","Bilans Alimentaires","159","Nigéria","511","Population totale","2501","Population","2013","2013","1000 personnes","173615","","Donnée officielle"
"FBS","Bilans Alimentaires","162","Norvège","511","Population totale","2501","Population","2013","2013","1000 personnes","5043","","Donnée officielle"
"FBS","Bilans Alimentaires","153","Nouvelle-Calédonie","511","Population totale","2501","Population","2013","2013","1000 personnes","256","","Donnée officielle"
"FBS","Bilans Alimentaires","156","Nouvelle-Zélande","511","Population totale","2501","Population","2013","2013","1000 personnes","4506","","Donnée officielle"
"FBS","Bilans Alimentaires","221","Oman","511","Population totale","2501","Population","2013","2013","1000 personnes","3632","","Donnée officielle"
"FBS","Bilans Alimentaires","226","Ouganda","511","Population totale","2501","Population","2013","2013","1000 personnes","37579","","Donnée officielle"
"FBS","Bilans Alimentaires","235","Ouzbékistan","511","Population totale","2501","Population","2013","2013","1000 personnes","28934","","Donnée officielle"
"FBS","Bilans Alimentaires","165","Pakistan","511","Population totale","2501","Population","2013","2013","1000 personnes","182143","","Donnée officielle"
"FBS","Bilans Alimentaires","166","Panama","511","Population totale","2501","Population","2013","2013","1000 personnes","3864","","Donnée officielle"
"FBS","Bilans Alimentaires","169","Paraguay","511","Population totale","2501","Population","2013","2013","1000 personnes","6802","","Donnée officielle"
"FBS","Bilans Alimentaires","150","Pays-Bas","511","Population totale","2501","Population","2013","2013","1000 personnes","16759","","Donnée officielle"
"FBS","Bilans Alimentaires","170","Pérou","511","Population totale","2501","Population","2013","2013","1000 personnes","30376","","Donnée officielle"
"FBS","Bilans Alimentaires","171","Philippines","511","Population totale","2501","Population","2013","2013","1000 personnes","98394","","Donnée officielle"
"FBS","Bilans Alimentaires","173","Pologne","511","Population totale","2501","Population","2013","2013","1000 personnes","38217","","Donnée officielle"
"FBS","Bilans Alimentaires","70","Polynésie française","511","Population totale","2501","Population","2013","2013","1000 personnes","277","","Donnée officielle"
"FBS","Bilans Alimentaires","174","Portugal","511","Population totale","2501","Population","2013","2013","1000 personnes","10608","","Donnée officielle"
"FBS","Bilans Alimentaires","37","République centrafricaine","511","Population totale","2501","Population","2013","2013","1000 personnes","4616","","Donnée officielle"
"FBS","Bilans Alimentaires","117","République de Corée","511","Population totale","2501","Population","2013","2013","1000 personnes","49263","","Donnée officielle"
"FBS","Bilans Alimentaires","146","République de Moldova","511","Population totale","2501","Population","2013","2013","1000 personnes","3487","","Donnée officielle"
"FBS","Bilans Alimentaires","120","République démocratique populaire lao","511","Population totale","2501","Population","2013","2013","1000 personnes","6770","","Donnée officielle"
"FBS","Bilans Alimentaires","56","République dominicaine","511","Population totale","2501","Population","2013","2013","1000 personnes","10404","","Donnée officielle"
"FBS","Bilans Alimentaires","116","République populaire démocratique de Corée","511","Population totale","2501","Population","2013","2013","1000 personnes","24895","","Donnée officielle"
"FBS","Bilans Alimentaires","215","République-Unie de Tanzanie","511","Population totale","2501","Population","2013","2013","1000 personnes","49253","","Donnée officielle"
"FBS","Bilans Alimentaires","183","Roumanie","511","Population totale","2501","Population","2013","2013","1000 personnes","21699","","Donnée officielle"
"FBS","Bilans Alimentaires","229","Royaume-Uni","511","Population totale","2501","Population","2013","2013","1000 personnes","63384","","Donnée officielle"
"FBS","Bilans Alimentaires","184","Rwanda","511","Population totale","2501","Population","2013","2013","1000 personnes","11777","","Donnée officielle"
"FBS","Bilans Alimentaires","189","Sainte-Lucie","511","Population totale","2501","Population","2013","2013","1000 personnes","182","","Donnée officielle"
"FBS","Bilans Alimentaires","188","Saint-Kitts-et-Nevis","511","Population totale","2501","Population","2013","2013","1000 personnes","54","","Donnée officielle"
"FBS","Bilans Alimentaires","191","Saint-Vincent-et-les Grenadines","511","Population totale","2501","Population","2013","2013","1000 personnes","109","","Donnée officielle"
"FBS","Bilans Alimentaires","244","Samoa","511","Population totale","2501","Population","2013","2013","1000 personnes","190","","Donnée officielle"
"FBS","Bilans Alimentaires","193","Sao Tomé-et-Principe","511","Population totale","2501","Population","2013","2013","1000 personnes","193","","Donnée officielle"
"FBS","Bilans Alimentaires","195","Sénégal","511","Population totale","2501","Population","2013","2013","1000 personnes","14133","","Donnée officielle"
"FBS","Bilans Alimentaires","272","Serbie","511","Population totale","2501","Population","2013","2013","1000 personnes","9511","","Donnée officielle"
"FBS","Bilans Alimentaires","197","Sierra Leone","511","Population totale","2501","Population","2013","2013","1000 personnes","6092","","Donnée officielle"
"FBS","Bilans Alimentaires","199","Slovaquie","511","Population totale","2501","Population","2013","2013","1000 personnes","5450","","Donnée officielle"
"FBS","Bilans Alimentaires","198","Slovénie","511","Population totale","2501","Population","2013","2013","1000 personnes","2072","","Donnée officielle"
"FBS","Bilans Alimentaires","276","Soudan","511","Population totale","2501","Population","2013","2013","1000 personnes","37964","","Donnée officielle"
"FBS","Bilans Alimentaires","38","Sri Lanka","511","Population totale","2501","Population","2013","2013","1000 personnes","21273","","Donnée officielle"
"FBS","Bilans Alimentaires","210","Suède","511","Population totale","2501","Population","2013","2013","1000 personnes","9571","","Donnée officielle"
"FBS","Bilans Alimentaires","211","Suisse","511","Population totale","2501","Population","2013","2013","1000 personnes","8078","","Donnée officielle"
"FBS","Bilans Alimentaires","207","Suriname","511","Population totale","2501","Population","2013","2013","1000 personnes","539","","Donnée officielle"
"FBS","Bilans Alimentaires","209","Eswatini","511","Population totale","2501","Population","2013","2013","1000 personnes","1250","","Donnée officielle"
"FBS","Bilans Alimentaires","208","Tadjikistan","511","Population totale","2501","Population","2013","2013","1000 personnes","8208","","Donnée officielle"
"FBS","Bilans Alimentaires","39","Tchad","511","Population totale","2501","Population","2013","2013","1000 personnes","12825","","Donnée officielle"
"FBS","Bilans Alimentaires","167","Tchéquie (la)","511","Population totale","2501","Population","2013","2013","1000 personnes","10702","","Donnée officielle"
"FBS","Bilans Alimentaires","216","Thaïlande","511","Population totale","2501","Population","2013","2013","1000 personnes","67011","","Donnée officielle"
"FBS","Bilans Alimentaires","176","Timor-Leste","511","Population totale","2501","Population","2013","2013","1000 personnes","1133","","Donnée officielle"
"FBS","Bilans Alimentaires","217","Togo","511","Population totale","2501","Population","2013","2013","1000 personnes","6817","","Donnée officielle"
"FBS","Bilans Alimentaires","220","Trinité-et-Tobago","511","Population totale","2501","Population","2013","2013","1000 personnes","1341","","Donnée officielle"
"FBS","Bilans Alimentaires","222","Tunisie","511","Population totale","2501","Population","2013","2013","1000 personnes","10997","","Donnée officielle"
"FBS","Bilans Alimentaires","213","Turkménistan","511","Population totale","2501","Population","2013","2013","1000 personnes","5240","","Donnée officielle"
"FBS","Bilans Alimentaires","223","Turquie","511","Population totale","2501","Population","2013","2013","1000 personnes","74933","","Donnée officielle"
"FBS","Bilans Alimentaires","230","Ukraine","511","Population totale","2501","Population","2013","2013","1000 personnes","45239","","Donnée officielle"
"FBS","Bilans Alimentaires","234","Uruguay","511","Population totale","2501","Population","2013","2013","1000 personnes","3407","","Donnée officielle"
"FBS","Bilans Alimentaires","155","Vanuatu","511","Population totale","2501","Population","2013","2013","1000 personnes","253","","Donnée officielle"
"FBS","Bilans Alimentaires","236","Venezuela (République bolivarienne du)","511","Population totale","2501","Population","2013","2013","1000 personnes","30405","","Donnée officielle"
"FBS","Bilans Alimentaires","237","Viet Nam","511","Population totale","2501","Population","2013","2013","1000 personnes","91680","","Donnée officielle"
"FBS","Bilans Alimentaires","249","Yémen","511","Population totale","2501","Population","2013","2013","1000 personnes","24407","","Donnée officielle"
"FBS","Bilans Alimentaires","251","Zambie","511","Population totale","2501","Population","2013","2013","1000 personnes","14539","","Donnée officielle"
"FBS","Bilans Alimentaires","181","Zimbabwe","511","Population totale","2501","Population","2013","2013","1000 personnes","14150","","Donnée officielle"
